id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_usd,price_brl,host_tipo,desempenho_recente,min_preco,max_preco,score
1065220931636144636,Palermo Soho Clásico,302536850,Gabriela Y Guillermo,Palermo,-34.5869711967848,-58.426002748310566,Entire home/apt,39908.0,2,27,2025-01-08,2.11,1,100,26,46.95,234.75,Individual,26.0,-6.298323113564848,144.8866854829028,-0.02796906133422783
891981613847936496,The Arcos Flats,440160302,Paola,Palermo,-34.579392912355125,-58.42892051511746,Entire home/apt,24155.0,2,19,2024-11-04,1.01,1,38,15,28.42,142.09,Individual,15.0,-6.298323113564848,144.8866854829028,-0.028437086426490274
27808922,Hermoso Estudio en Palermo Hollywood- Holly Studio,209988655,Natalia,Palermo,-34.58152,-58.44138,Entire home/apt,35707.0,2,97,2025-01-05,1.28,1,87,23,42.01,210.04,Individual,23.0,-6.298323113564848,144.8866854829028,-0.028642770680739282
31437147,Cálido Monoambiente (Studio) en Palermo,218947909,May,Palermo,-34.5872,-58.41506,Entire home/apt,22800.0,20,73,2025-01-06,1.0,1,278,14,26.82,134.12,Individual,14.0,-6.298323113564848,144.8866854829028,-0.028885907369961425
796380540960970540,Luminoso Depto. en Palermo a metros visa EE.UU.,451949358,Carolina,Palermo,-34.583532183710446,-58.423582908324434,Entire home/apt,33607.0,2,106,2025-01-26,4.46,2,163,43,39.54,197.69,Individual,21.5,-6.298323113564848,144.8866854829028,-0.028979625353995037
797209526598026232,Departamento en Palermo Botánico,9206457,Ezequiel,Palermo,-34.58552801655182,-58.41912858188152,Entire home/apt,27159.0,5,26,2024-12-11,1.54,1,17,17,31.95,159.76,Individual,17.0,-6.298323113564848,144.8866854829028,-0.02912522060874545
1011358225494191137,Palermo Soho Serrano,200806632,Leonardo,Palermo,-34.58855390562709,-58.42863500118256,Entire home/apt,31507.0,1,23,2025-01-08,1.68,1,144,20,37.07,185.34,Individual,20.0,-6.298323113564848,144.8866854829028,-0.02931648002725079
826761169751584605,Departamento moderno en el corazón de Palermo Soho,47921644,Alejandro,Palermo,-34.5875427,-58.41829809999999,Entire home/apt,31507.0,2,96,2025-01-28,4.18,2,112,40,37.07,185.34,Individual,20.0,-6.298323113564848,144.8866854829028,-0.02931648002725079
646447457769521682,En el corazón de Palermo!,153226223,Virginia,Palermo,-34.58330032700028,-58.42373628169298,Entire home/apt,31507.0,2,24,2025-01-05,1.62,1,33,20,37.07,185.34,Individual,20.0,-6.298323113564848,144.8866854829028,-0.02931648002725079
849160369494517084,Torre Full amenities - Palermo,505808430,Laura,Palermo,-34.597391580762306,-58.42330326389739,Entire home/apt,40213.0,1,38,2024-08-25,2.39,1,29,26,47.31,236.55,Individual,26.0,-6.298323113564848,144.8866854829028,-0.029698998864261444
703696291133925746,Spacious apartmentPalermo  Soho-6pax-6pers,477134733,Cristina,Palermo,-34.58219,-58.42348,Entire home/apt,54611.0,2,63,2025-01-23,2.22,1,294,36,64.25,321.24,Individual,36.0,-6.298323113564848,144.8866854829028,-0.029727848535748835
22970867,"Loft Clay    :: Las Cañitas,  Belgrano-Palermo",170250209,Juan,Palermo,-34.57303,-58.43136,Entire home/apt,27306.0,4,83,2025-01-08,1.08,1,37,17,32.12,160.62,Individual,17.0,-6.298323113564848,144.8866854829028,-0.029942135553483545
706517488524617764,Departamento luminoso en Palermo Soho,47921644,Alejandro,Palermo,-34.58764869136683,-58.4182122693115,Entire home/apt,27306.0,2,107,2025-01-23,3.79,2,124,34,32.12,160.62,Individual,17.0,-6.298323113564848,144.8866854829028,-0.029942135553483545
29916589,"VivIr Palermo!. Dpto Luminoso, Cómodo y Seguro.",38155483,Ingrid,Palermo,-34.59723,-58.42015,Entire home/apt,34510.0,2,132,2025-01-17,1.76,1,24,22,40.6,203.0,Individual,22.0,-6.298323113564848,144.8866854829028,-0.03000461420950598
577703672361307297,Silence and light Palermo soho room.,439089601,Alejo,Palermo,-34.585750579833984,-58.4284553527832,Private room,25205.0,1,99,2024-12-19,3.11,2,73,31,29.65,148.26,Individual,15.5,-6.298323113564848,144.8866854829028,-0.0302789902267393
1137731843144703407,New studio in Buenos Aires,573012721,Camila,Palermo,-34.5775498,-58.4364245,Entire home/apt,50410.0,2,33,2025-01-28,3.9,1,253,33,59.31,296.53,Individual,33.0,-6.298323113564848,144.8866854829028,-0.030401557882260344
1134031521574300332,Departamento en Buenos Aires,124599428,Paula,Palermo,-34.58253054791338,-58.42731354072068,Entire home/apt,34657.0,1,22,2024-08-25,2.31,1,195,22,40.77,203.86,Individual,22.0,-6.298323113564848,144.8866854829028,-0.030821529154244104
1176845764460120218,"Departamento Palermo 3 Ambientes, Amoblado",223512453,Agustina Sofía,Palermo,-34.580806,-58.42511889999999,Entire home/apt,39100.0,3,25,2025-01-23,3.69,1,70,25,46.0,230.0,Individual,25.0,-6.298323113564848,144.8866854829028,-0.03154138059581524
993639074652765198,Palermo View Conection,540060028,Federico,Palermo,-34.5839059,-58.4256488,Entire home/apt,42009.0,2,50,2025-01-21,3.16,1,247,27,49.42,247.11,Individual,27.0,-6.298323113564848,144.8866854829028,-0.031700922755004635
23958356,Comfortable Palermo - Plaza Italia,180153507,Andrea,Palermo,-34.58335,-58.42421,Entire home/apt,42009.0,3,145,2025-01-11,1.76,1,135,27,49.42,247.11,Individual,27.0,-6.298323113564848,144.8866854829028,-0.031700922755004635
782023685360325731,Modern 2 room Palermo Soho,440071636,Nicolás,Palermo,-34.58365966428825,-58.42336640793456,Entire home/apt,26255.0,4,20,2024-09-09,0.84,1,240,16,30.89,154.44,Individual,16.0,-6.298323113564848,144.8866854829028,-0.032168947847267065
979822731517461702,Brand New in Palermo for 2,110656984,Matias,Palermo,-34.58374087868518,-58.41083343873866,Entire home/apt,27698.0,2,25,2024-11-30,1.52,1,242,17,32.59,162.93,Individual,17.0,-6.298323113564848,144.8866854829028,-0.032200665106583065
1172662983504845466,Condo in Palermo with rooftop pool and security,17945438,Ornella Stefania,Palermo,-34.5856821,-58.4410372,Entire home/apt,34962.0,2,22,2025-01-24,3.17,1,78,22,41.13,205.66,Individual,22.0,-6.298323113564848,144.8866854829028,-0.03255146668427772
26053549,COZY BED  IN PALERMO HOME - Breakfast Included!!,133513536,Mer,Palermo,-34.5785,-58.42896,Private room,43637.0,1,138,2024-11-15,1.73,1,0,28,51.34,256.69,Individual,28.0,-6.298323113564848,144.8866854829028,-0.03278982406045225
1118217004847008283,Excelente Ubicación y  Silencioso en Palermo,388867938,Sebastian,Palermo,-34.58869,-58.42162,Entire home/apt,43637.0,3,28,2024-11-16,2.72,1,0,28,51.34,256.69,Individual,28.0,-6.298323113564848,144.8866854829028,-0.03278982406045225
1135464789175427336,Divino apt en Palermo con piscina,14227500,Flor,Palermo,-34.5806544,-58.4404152,Entire home/apt,30719.0,2,19,2025-01-21,2.24,1,360,19,36.14,180.7,Individual,19.0,-6.298323113564848,144.8866854829028,-0.03298490692939565
583813838605428576,⚡️Hermoso dos ambientes en  Palermo Soho⚡️,8410663,Ronen,Palermo,-34.59181,-58.42953,Entire home/apt,33607.0,2,134,2025-01-03,3.98,2,138,42,39.54,197.69,Individual,21.0,-6.298323113564848,144.8866854829028,-0.03304834144802757
1187603167653354025,Petit Studio Palermo Hollywood,9469833,Florencia,Palermo,-34.57595138710699,-58.435210092082286,Entire home/apt,30761.0,7,19,2025-01-27,2.98,1,19,19,36.19,180.95,Individual,19.0,-6.298323113564848,144.8866854829028,-0.0332251760307892
